"Route ID:","Route Location:","X (Longitude)","Y (Latitude)"
2829,"22ND ST BETWEEN SHOTWELL ST AND SOUTH VAN NESS AVE",-122.41601996,37.75560119
2828,"22Nd St BETWEEN South Van Ness Ave AND Capp St",-122.41711282,37.75553539
2840,"22nd St BETWEEN Treat Ave AND Folsom St",-122.41384083,37.75573269
13466,"22ND ST BETWEEN VERMONT ST AND SAN BRUNO AVE",-122.40436692,37.7569742
2765,"22ND ST BETWEEN WORTH ST AND HOFFMAN AVE",-122.44039269,37.75413327
2845,"22ND ST BETWEEN YORK ST AND BRYANT ST",-122.40896616,37.75602658
2742,"23rd Ave BETWEEN Irving St AND Judah St",-122.48134363,37.76244238
2735,"23RD AVE BETWEEN KIRKHAM ST AND LAWTON ST",-122.48108221,37.75871067
2717,"23rd Ave BETWEEN Ocean Ave AND Eucalyptus Dr",-122.47918171,37.73184399
2716,"23RD ST BETWEEN 23RD ST AND CAROLINA ST",-122.39928045,37.75470989
2675,"23rd St BETWEEN Alabama St AND Harrison St",-122.4115837,37.75425855
2682,"23RD ST BETWEEN BRYANT ST AND FLORIDA ST",-122.40973664,37.75436952
2715,"23RD ST BETWEEN CAROLINA ST AND DE HARO ST",-122.40018198,37.75465549
2640,"23rd St BETWEEN Chattanooga St AND Church St",-122.42675059,37.75334283
4710,"23RD ST BETWEEN CHURCH ST AND NELLIE ST",-122.42787427,37.75327435
2714,"23RD ST BETWEEN DE HARO ST AND RHODE ISLAND ST",-122.40110754,37.75459964
4697,"23RD ST BETWEEN EUREKA ST AND DOUGLASS ST",-122.43806067,37.75266286
4700,"23rd St BETWEEN Noe St AND Castro St",-122.43313166,37.7529581
2644,"23RD ST BETWEEN QUANE ST AND DOLORES ST",-122.42498506,37.75345106
